URL,Precio
https://www.amazon.com/-/es/PlayStation%C2%AE5-console-slim-SPORTS-College-Football/dp/B0D9JLP9N8/ref=sr_1_1?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=W0QA2NL26QA8&dib=eyJ2IjoiMSJ9.8d7qTXJ3Plr94uTfOIz-FU9ASkneC4v2CZobHtIYQikjvDP39h0bYYUbZ_1keBhsL63QoAZAol3ZAE4UanCwns5o-8yELvrpM8j2OOEdgsTqT04vdYz5UMtJjQdW8aWj2-75HFe_xFJ2jak-UJBmqqBJnFUtc1Y8emhWIdrsb2zCojtdLnrlOPI2dMKOIrfLlvB9RxkWGEAdYONdjxuWfyjbKAlX1wmAUz5DrDI7ilU.pplIoK5BSsAdvWNYwoeDo0zM8ic6zEPRtPurW2rzY8k&dib_tag=se&keywords=ps5&qid=1724456705&sprefix=p%2Caps%2C519&sr=8-1,No encontrado
https://www.ebay.com/itm/305745379561?_nkw=ps5&epid=26040994468&itmmeta=01J60T504BPSDRQ1QD5JRRQ51M&hash=item472fd840e9:g:Tb4AAOSwVV5myPxx&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKlmdexcDAIOwzqkEBBP8KjKdPzW0KhL3MOWeG6RgtWVO6HGFjaM0rZGiP1Xq28Zf6i1GU41eKCCkwr1JzqCsC8AdMHRpfusBMhkd6Ic4L%2FM4x0Sj7ZDgzt0b6y%2BnbgC6PW3LbvU1uhNSG2fihTuY5GAAd5SefqqXvnE61vyrhPAqf9vO5aWVJVbQXYaThMACmoGKGZogcX731AGSZejMBXtfBIRFsTqnOn%2BUJ7tWwOZwYeMGWgIn8nSt8V7YOxs7TUkfkufz0wjhn%2FUSxgh%2Bj5d%7Ctkp%3ABFBMnoKUmrBk,No encontrado
